,Age,KMS,Price,Long Range,Performance,Standard
419,3,43680,384900,0,0,1
420,3,73000,384670,0,0,1
421,1,17900,549000,0,1,0
422,3,56300,349670,0,0,1
423,1,25445,476670,1,0,0
424,1,23000,478000,1,0,0
425,0,11757,521670,0,0,1
426,3,111000,355000,1,0,0
427,3,66826,371670,0,0,1
428,2,63400,419670,1,0,0
429,2,60595,399000,1,0,0
430,2,92447,394900,1,0,0
431,1,38000,469670,1,0,0
432,3,24500,409000,0,0,1
433,1,36774,485000,1,0,0
434,3,27184,399000,1,0,0
435,1,52000,449000,0,1,0
436,1,19000,486670,1,0,0
437,1,13700,489000,1,0,0
438,1,23000,489000,1,0,0
439,2,38000,451670,1,0,0
440,3,55000,429000,0,1,0
441,1,9500,501670,1,0,0
442,1,10600,529990,0,1,0
443,1,9090,586670,1,0,0
444,3,69500,395000,1,0,0
445,3,29700,430000,1,0,0
446,1,30500,479990,1,0,0
447,3,83000,390000,1,0,0
448,3,91750,345670,1,0,0
449,1,22500,486670,1,0,0
450,1,39000,400000,0,0,1
451,1,31700,399000,0,0,1
452,2,27658,487500,1,0,0
453,1,40500,439670,1,0,0
454,3,58000,369000,0,0,1
455,3,66500,419000,0,0,1
456,1,48550,455000,1,0,0
457,3,42500,396670,0,0,1
458,3,61000,399970,1,0,0
459,3,71000,389000,0,1,0
460,3,77285,361670,0,0,1
461,3,82500,340000,0,0,1
462,3,36886,410670,1,0,0
463,2,45600,439990,1,0,0
464,2,75600,418900,0,0,1
465,2,19500,519990,0,1,0
466,1,19900,489000,1,0,0
467,1,27800,479000,0,1,0
468,3,63000,419800,0,1,0
469,1,9500,421670,0,0,1
470,1,59000,459000,1,0,0
471,1,32500,459000,1,0,0
472,2,44650,434670,1,0,0
473,1,29000,499900,0,0,1
474,1,17500,389900,0,0,1
475,1,25000,474900,1,0,0
476,1,11500,399000,0,0,1
477,3,67000,369900,1,0,0
478,2,67500,396670,0,0,1
479,3,62000,394670,0,1,0
480,2,49000,487670,1,0,0
481,0,5000,526670,0,1,0
482,1,49000,465000,1,0,0
483,1,54500,440000,1,0,0
484,3,61700,419000,1,0,0
485,2,33900,431670,1,0,0
486,2,79982,389000,0,0,1
487,0,10060,518000,1,0,0
488,1,14000,481670,0,0,1
489,3,73000,378990,1,0,0
490,3,55419,339670,0,0,1
491,3,84851,396670,1,0,0
492,1,21445,479970,1,0,0
493,1,11876,555000,0,1,0
494,2,83500,400670,1,0,0
495,3,48250,419900,0,1,0
496,3,64600,379000,1,0,0
497,3,83500,375000,1,0,0
498,2,31210,459000,0,0,1
499,1,20300,499000,1,0,0
500,3,47500,401670,1,0,0
501,3,80000,399900,1,0,0
502,1,27925,469990,1,0,0
503,3,45000,404990,1,0,0
504,1,29500,509800,1,0,0
505,2,38700,439000,1,0,0
506,0,1700,568000,1,0,0
507,1,28100,499990,0,1,0
508,0,1500,599000,0,1,0
509,1,36000,469000,1,0,0
510,1,28000,485000,1,0,0
511,3,58500,409670,1,0,0
512,2,34800,409000,0,0,1
513,1,42000,489900,0,0,1
514,1,38000,459670,1,0,0
515,3,35000,389900,1,0,0
516,3,49139,420000,1,0,0
517,1,32228,529000,0,1,0
518,3,76000,399999,1,0,0
519,1,34000,471670,1,0,0
520,1,22500,489000,1,0,0
521,1,26100,489000,1,0,0
522,3,53300,389000,1,0,0
523,1,20000,511670,0,1,0
524,1,35245,479900,1,0,0
525,1,25726,499000,0,0,1
526,1,60461,465000,1,0,0
527,1,31000,456670,1,0,0
528,0,4000,559000,1,0,0
529,3,48751,384670,0,0,1
530,2,19000,481670,0,0,1
531,1,69000,474000,0,1,0
532,3,99500,354670,1,0,0
533,3,25000,429670,1,0,0
534,3,66000,399000,0,1,0
535,1,4700,425000,0,0,1
536,3,81000,381670,1,0,0
537,1,18200,491670,1,0,0
538,3,63000,379999,0,0,1
539,1,24000,499670,1,0,0
540,3,58000,356670,0,0,1
541,3,74500,396670,1,0,0
542,1,9023,511670,1,0,0
543,3,27000,369000,0,0,1
544,1,27437,529990,0,0,1
545,3,76542,419900,1,0,0
546,2,73100,439900,0,1,0
547,1,53300,479000,1,0,0
548,2,18200,504900,0,0,1
549,1,44000,529900,0,1,0
550,1,34000,467900,1,0,0
551,3,65800,415000,0,1,0
552,2,41000,449900,1,0,0
553,1,20340,415000,0,0,1
554,1,29100,469000,1,0,0
555,1,29100,469000,1,0,0
556,3,104000,341670,1,0,0
557,1,24000,470000,1,0,0
558,1,45000,469000,0,1,0
559,1,16800,519670,0,1,0
560,1,11200,516670,0,1,0
561,3,45500,410000,1,0,0
562,1,36000,459000,0,0,1
563,0,13500,549900,0,1,0
564,1,49200,479900,0,0,1
565,1,46723,475000,0,0,1
566,3,56750,389000,1,0,0
567,1,40000,491670,0,1,0
568,1,8900,519570,0,1,0
569,1,18000,499670,1,0,0
570,1,15000,421670,0,0,1
571,3,74500,399900,1,0,0
572,0,1300,568000,1,0,0
573,1,22000,519800,0,1,0
574,3,53000,419900,1,0,0
575,3,61000,399000,1,0,0
576,1,37000,399900,0,0,1
577,1,24000,546670,0,1,0
578,1,39800,471670,1,0,0
579,3,68000,436670,1,0,0
580,2,49900,391670,1,0,0
581,1,24400,474999,1,0,0
582,3,124076,359000,0,1,0
583,1,23000,529800,0,1,0
584,3,38600,389000,1,0,0
585,0,3800,426670,0,0,1
586,1,20010,529000,1,0,0
587,2,39632,429500,1,0,0
588,2,48643,425000,0,0,1
589,3,93410,349000,0,0,1
590,3,47800,377000,1,0,0
591,2,18120,399900,0,0,1
592,0,3818,435000,0,0,1
593,3,62000,383670,1,0,0
594,3,112900,359000,1,0,0
595,3,82946,436670,0,1,0
596,1,18100,416670,0,0,1
597,3,64368,439000,0,0,1
598,3,33676,449670,1,0,0
599,0,890,449000,0,0,1
600,3,76831,389000,0,0,1
601,1,47000,479000,0,0,1
602,3,42000,426670,1,0,0
603,3,52000,399900,1,0,0
604,1,41000,489670,0,0,1
605,3,63000,479000,0,1,0
606,3,68300,391670,0,0,1
607,1,23800,529900,0,1,0
608,1,21000,399900,0,0,1
609,2,47000,399000,1,0,0
610,2,36500,487170,1,0,0
611,1,26703,410000,0,0,1
612,1,23471,419000,0,0,1
613,3,72039,365000,0,0,1
614,2,19478,420000,0,0,1
615,1,23662,469000,1,0,0
616,1,37000,444670,1,0,0
617,1,26000,541670,0,1,0
618,1,29368,460000,1,0,0
619,2,74469,399670,1,0,0
620,2,77469,431670,1,0,0
621,3,64119,356670,0,0,1
622,3,79515,359000,1,0,0
623,1,13000,499000,1,0,0
624,3,87500,369670,1,0,0
625,3,73000,371670,1,0,0
626,3,71310,426670,0,1,0
627,3,73000,399670,0,1,0
628,3,49300,379000,1,0,0
629,3,69296,425000,0,1,0
630,0,1100,575000,0,1,0
631,3,67500,369000,0,0,1
632,2,27538,460000,0,1,0
633,1,39000,470000,1,0,0
634,1,24500,471670,1,0,0
635,2,44000,431670,0,0,1
636,3,86000,381670,1,0,0
637,0,5100,546670,0,1,0
638,1,35000,459900,1,0,0
639,1,43000,479000,0,1,0
640,2,29400,471670,1,0,0
641,1,35075,489000,1,0,0
642,3,78000,388900,1,0,0
643,1,29700,456670,1,0,0
644,3,78703,379000,1,0,0
645,3,65250,396670,1,0,0
646,3,25303,424900,1,0,0
647,1,36000,497670,1,0,0
648,3,57000,430000,0,1,0
649,1,23000,480000,1,0,0
650,3,50000,445000,1,0,0
651,1,25000,479990,1,0,0
652,0,70,569000,1,0,0
653,1,27500,521670,1,0,0
654,3,45774,395000,1,0,0
655,1,25000,529800,0,1,0
656,1,27500,461670,1,0,0
657,3,58000,409670,0,1,0
658,3,150000,329670,0,1,0
659,1,24600,479000,1,0,0
660,3,63000,386670,1,0,0
661,1,52000,429700,1,0,0
662,3,55900,386670,0,0,1
663,1,33000,499800,0,0,1
664,3,79000,369900,1,0,0
665,3,61300,396670,0,1,0
666,2,50200,481670,1,0,0
667,1,26100,489900,1,0,0
668,0,2000,468000,0,0,1
669,1,60000,400000,0,0,1
670,1,27000,469900,1,0,0
671,1,30000,479900,1,0,0
672,3,120400,381670,0,1,0
673,1,19000,400670,0,0,1
674,1,28900,499900,1,0,0
675,1,22118,500670,0,1,0
676,1,22748,524670,1,0,0
677,3,85000,369000,1,0,0
678,3,69196,379670,0,0,1
679,3,82000,385000,1,0,0
680,3,71000,369670,1,0,0
681,2,38600,465670,1,0,0
682,1,39500,446670,1,0,0
683,0,12000,539000,0,1,0
684,3,36000,431670,1,0,0
685,3,84300,360000,1,0,0
686,1,16000,399670,0,0,1
687,0,3600,459000,0,0,1
688,1,36000,514900,1,0,0
689,3,41000,365000,0,0,1
690,0,100,449900,0,0,1
691,0,500,469900,0,0,1
692,3,69100,399000,1,0,0
693,2,41200,469000,0,1,0
694,1,16600,479000,1,0,0
695,1,42000,499000,0,1,0
696,1,18500,476670,1,0,0
697,3,87000,381670,0,0,1
698,1,34000,405000,0,0,1
699,2,42000,460000,1,0,0
700,3,47695,399670,1,0,0
701,2,59000,359900,0,0,1
702,1,18919,459670,1,0,0
703,3,82500,374670,1,0,0
704,2,66018,430000,1,0,0
705,1,36000,499670,1,0,0
706,3,88072,389900,1,0,0
707,1,27000,459000,1,0,0
708,3,78279,399900,1,0,0
709,3,79214,399900,1,0,0
710,2,53500,389800,1,0,0
711,3,100024,389900,1,0,0
712,1,54000,499670,0,1,0
713,3,89602,389900,1,0,0
714,3,43540,409900,1,0,0
715,3,89602,389900,0,0,1
716,1,74000,422670,1,0,0
717,2,63840,409670,1,0,0
718,1,40000,459670,1,0,0
719,3,49918,424900,1,0,0
720,3,75987,399900,1,0,0
721,0,10970,531670,0,0,1
722,3,45800,429000,1,0,0
723,3,76500,384000,1,0,0
724,1,26042,478900,1,0,0
725,1,18500,479900,1,0,0
726,1,8000,506670,1,0,0
727,2,49500,419990,1,0,0
728,3,89500,329670,0,0,1
729,3,47000,401670,1,0,0
730,3,105000,307669,0,0,1
731,2,35400,441670,1,0,0
732,1,42859,486670,0,1,0
733,3,76300,407000,1,0,0
734,3,75600,419000,1,0,0
735,1,41000,477000,1,0,0
736,1,38000,489990,1,0,0
737,0,70,575000,1,0,0
738,0,10151,526670,1,0,0
739,1,29600,526670,1,0,0
740,2,57000,429900,1,0,0
741,3,60400,379970,1,0,0
742,0,47,599900,0,1,0
743,1,15072,489900,1,0,0
744,2,49019,476670,1,0,0
745,1,33600,460000,1,0,0
746,3,47000,439670,1,0,0
747,2,25240,465000,1,0,0
748,1,25358,516670,1,0,0
749,3,88662,369000,1,0,0
750,1,24000,399000,0,0,1
751,3,82000,399670,1,0,0
752,3,73000,369670,1,0,0
753,1,30000,475000,1,0,0
754,2,76679,420670,1,0,0
755,3,70000,360000,1,0,0
756,2,110000,359900,1,0,0
757,1,19300,469000,1,0,0
758,1,32500,381670,0,0,1
759,0,8300,449900,0,0,1
760,1,36418,431670,0,0,1
761,3,36000,429000,1,0,0
762,1,36000,489000,1,0,0
763,2,43000,459900,1,0,0
764,1,39800,479000,0,1,0
765,1,18500,410670,0,0,1
766,1,80000,409900,1,0,0
767,3,19000,445000,1,0,0
768,3,35000,398000,1,0,0
769,3,69000,469000,1,0,0
770,3,51049,490670,0,1,0
771,3,40000,451669,0,0,1
772,3,25500,390000,1,0,0
773,3,69500,400000,0,0,1
774,3,38600,429000,1,0,0
775,3,71000,409000,1,0,0
